t, s(t), I, s(I)
002.24, 0.05, 5.5, 0.1  
003.44, 0.05, 5.4, 0.1
006.24, 0.05, 5.3, 0.1
007.45, 0.05, 5.2, 0.1
011.83, 0.05, 5.1, 0.1
015.04, 0.05, 5.0, 0.1
017.04, 0.05, 4.9, 0.1
021.04, 0.05, 4.8, 0.1
023.03, 0.05, 4.7, 0.1
027.43, 0.05, 4.6, 0.1
030.35, 0.05, 4.5, 0.1
033.05, 0.05, 4.4, 0.1
037.44, 0.05, 4.3, 0.1
040.61, 0.05, 4.2, 0.1
043.01, 0.05, 4.1, 0.1
047.43, 0.05, 4.0, 0.1
051.03, 0.05, 3.9, 0.1
055.05, 0.05, 3.8, 0.1
058.21, 0.05, 3.7, 0.1
062.63, 0.05, 3.6, 0.1
066.20, 0.05, 3.5, 0.1
071.82, 0.05, 3.4, 0.1
074.19, 0.05, 3.3, 0.1
079.81, 0.05, 3.2, 0.1
084.59, 0.05, 3.1, 0.1
089.02, 0.05, 3.0, 0.1
093.42, 0.05, 2.9, 0.1
100.25, 0.05, 2.8, 0.1
104.98, 0.05, 2.7, 0.1
109.80, 0.05, 2.6, 0.1
116.20, 0.05, 2.5, 0.1
123.41, 0.05, 2.4, 0.1
126.98, 0.05, 2.3, 0.1
135.38, 0.05, 2.2, 0.1
141.39, 0.05, 2.1, 0.1
149.40, 0.05, 2.0, 0.1
152.18, 0.05, 1.9, 0.1
166.60, 0.05, 1.8, 0.1
172.98, 0.05, 1.7, 0.1
182.98, 0.05, 1.6, 0.1
189.77, 0.05, 1.5, 0.1
202.97, 0.05, 1.4, 0.1
213.78, 0.05, 1.3, 0.1
224.57, 0.05, 1.2, 0.1
237.37, 0.05, 1.1, 0.1
255.75, 0.05, 1.0, 0.1
266.55, 0.05, 0.9, 0.1
292.96, 0.05, 0.8, 0.1
304.93, 0.05, 0.7, 0.1
333.74, 0.05, 0.6, 0.1
364.94, 0.05, 0.5, 0.1
392.90, 0.05, 0.4, 0.1
437.71, 0.05, 0.3, 0.1
514.50, 0.05, 0.2, 0.1
630.06, 0.05, 0.1, 0.1
