t, s(t), I, s(I)
02.74, 0.02, 2.5, 0.1  
03.93, 0.02, 2.4, 0.1
04.73, 0.02, 2.3, 0.1
05.92, 0.02, 2.2, 0.1
06.71, 0.02, 2.1, 0.1
07.92, 0.02, 2.0, 0.1
09.13, 0.02, 1.9, 0.1
09.92, 0.02, 1.8, 0.1
11.14, 0.02, 1.7, 0.1
12.72, 0.02, 1.6, 0.1
13.94, 0.02, 1.5, 0.1
15.92, 0.02, 1.4, 0.1
17.13, 0.02, 1.3, 0.1
19.12, 0.02, 1.2, 0.1
20.72, 0.02, 1.1, 0.1
22.72, 0.02, 1.0, 0.1
25.52, 0.02, 0.9, 0.1
28.32, 0.02, 0.8, 0.1
29.94, 0.02, 0.7, 0.1
34.71, 0.02, 0.6, 0.1
37.54, 0.02, 0.5, 0.1
43.11, 0.02, 0.4, 0.1
47.12, 0.02, 0.3, 0.1
55.10, 0.02, 0.2, 0.1
65.90, 0.02, 0.1, 0.1

